Nama Produk,Harga Produk,Nama Toko,Kota Toko,Banyaknya Terjual,Rating,Pendapatan
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,17000,Central Seblak Nusantara,Tangerang Selatan,2000.0,4.9,34000000.0
KRUPUK SEBLAK RAFAEL | SEBRING | KERUPUK MAWAR PEDAS DAUN JERUK 250 GR,21630,Toko kue Sumber Mas,Jakarta Timur,40.0,5.0,865200.0
"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,500.0,5.0,12500000.0
SEBLAK KERING PEDAS DAUN JERUK - 500 gram,17500,BociKakang,Jakarta Selatan,1000.0,4.6,17500000.0
Seblak Rafael/Seblak Coet Instan Halal,26600,Foodstocks,Jakarta Selatan,500.0,4.9,13300000.0
Kylafood Seblak Rempah Authentik,8888,kylafood,Bandung,2000.0,4.9,17776000.0
SEBLAK INSTANT TERMURAH,4450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10000.0,4.8,44500000.0
Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,4000.0,4.9,14000000.0
Kylafood Seblak Original Play,8888,kylafood,Bandung,1000.0,4.9,8888000.0
Kerupuk Mentah 250gr Seblak Mentah,5900,Pedas Gilaa,Surabaya,1000.0,5.0,5900000.0
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI - Taro,26500,BociKakang,Jakarta Selatan,500.0,5.0,13250000.0
Seblak instan komplit / seblak instan murah,5000,ismileusa_id,Kab. Bandung,100.0,4.7,500000.0
Kerupuk Seblak RAFAEL / Krupuk Seblak Pedas Bantet - Molagi Snack,16000,MOLAGI SNACK,Tangerang Selatan,16.0,4.5,256000.0
KERUPUK SEBLAK MENTAH ANEKA WARNA,11500,jajanangarut19,Jakarta Selatan,500.0,4.8,5750000.0
Paket Isi 4 Batagor Instan | Makaroni Basah | Seblak Basah,64906,Lakoca Official Shop,Cimahi,30.0,4.9,1947180.0
Seblak Instant Homemade Lengkap Bumbu,5500,Pedas Gilaa,Surabaya,3000.0,4.8,16500000.0
BASO ACI HOMEMADE boci isi12 bakso aci termurah baso aci fresh seblak,5400,NomeL Shop,Surabaya,3000.0,4.6,16200000.0
"makaroni kriuk 500g pedas extra daun jeruk,cemilan nikmat,seblak,makan",25000,anugrah seblak,Kab. Bandung,250.0,4.8,6250000.0
Seblak Instan Komplit Pedas Gurih Nikmat,5999,Baso Aci Ayang,Kab. Garut,3000.0,4.9,17997000.0
Seblak Rafael/Seblak Coet Instan Halal,26600,Foodstocks,Jakarta Selatan,500.0,4.9,13300000.0
Kylafood Seblak Original,21375,kylafood,Bandung,10000.0,4.9,213750000.0
BASRENG 1 KG SEBLAK DAUN JERUK PURUT SUPER PEDAS ORIGINAL SUPER RENYAH,51771,Grosir Besar Kalimantan,Banjarbaru,50.0,5.0,2588550.0
Cuanki Lidah Topping Baso Aci Seblak Isi 50 Biji,13000,Pedas Gilaa,Surabaya,100.0,4.9,1300000.0
