Nama Produk,Harga Produk,Nama Toko,Kota Toko,Banyaknya Terjual,Rating
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
KRUPUK SEBLAK RAFAEL | SEBRING | KERUPUK MAWAR PEDAS DAUN JERUK 250 GR,Rp21.630,Toko kue Sumber Mas,Jakarta Timur,40+ terjual,5
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,500+ terjual,5
SEBLAK KERING PEDAS DAUN JERUK - 500 gram,Rp17.500,BociKakang,Jakarta Selatan,1rb+ terjual,4.6
Seblak Rafael/Seblak Coet Instan Halal,Rp26.600Rp28.000,Foodstocks,Jakarta Selatan,500+ terjual,4.9
Kylafood Seblak Rempah Authentik,Rp8.888Rp12.900,kylafood,Bandung,2rb+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,4rb+ terjual,4.9
Kylafood Seblak Original Play,Rp8.888Rp22.500,kylafood,Bandung,1rb+ terjual,4.9
Kerupuk Mentah 250gr Seblak Mentah,Rp5.900,Pedas Gilaa,Surabaya,1rb+ terjual,5
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI - Taro,Rp26.500,BociKakang,Jakarta Selatan,500+ terjual,5
Seblak instan komplit / seblak instan murah,Rp5.000Rp10.000,ismileusa_id,Kab. Bandung,100+ terjual,4.7
Kerupuk Seblak RAFAEL / Krupuk Seblak Pedas Bantet - Molagi Snack,Rp16.000,MOLAGI SNACK,Tangerang Selatan,16 terjual,4.5
KERUPUK SEBLAK MENTAH ANEKA WARNA,Rp11.500,jajanangarut19,Jakarta Selatan,500+ terjual,4.8
Paket Isi 4 Batagor Instan | Makaroni Basah | Seblak Basah,Rp64.906,Lakoca Official Shop,Cimahi,30+ terjual,4.9
Seblak Instant Homemade Lengkap Bumbu,Rp5.500,Pedas Gilaa,Surabaya,3rb+ terjual,4.8
BASO ACI HOMEMADE boci isi12 bakso aci termurah baso aci fresh seblak,Rp5.400,NomeL Shop,Surabaya,3rb+ terjual,4.6
"makaroni kriuk 500g pedas extra daun jeruk,cemilan nikmat,seblak,makan",Rp25.000,anugrah seblak,Kab. Bandung,250+ terjual,4.8
Seblak Instan Komplit Pedas Gurih Nikmat,Rp5.999,Baso Aci Ayang,Kab. Garut,3rb+ terjual,4.9
Seblak Rafael/Seblak Coet Instan Halal,Rp26.600Rp28.000,Foodstocks,Jakarta Selatan,500+ terjual,4.9
Kylafood Seblak Original,Rp21.375Rp22.500,kylafood,Bandung,10rb+ terjual,4.9
BASRENG 1 KG SEBLAK DAUN JERUK PURUT SUPER PEDAS ORIGINAL SUPER RENYAH,Rp51.771,Grosir Besar Kalimantan,Banjarbaru,50+ terjual,5
Cuanki Lidah Topping Baso Aci Seblak Isi 50 Biji,Rp13.000,Pedas Gilaa,Surabaya,100+ terjual,4.9
Kylafood Seblak Rempah Autentik isi (5pcs),Rp61.275Rp64.500,kylafood,Bandung,250+ terjual,4.8
Mamafuji - PROMO BUNDLING !!! SEBLAK & BAKSO ACI,Rp41.999,Mama Fuji Official,Tangerang,100+ terjual,4.8
KERUPUK SEBLAK PEDAS DAUN JERUK 100 GR,Rp4.500,BociKakang,Jakarta Selatan,750+ terjual,4.8
Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS,Rp93.840,Lakoca Official Shop,Cimahi,100+ terjual,4.8
"KERUPUK BAWANG ANEKA WARNA KRUPUK SEBLAK MENTAH WARNA WARNI - Taro, 500 gram",Rp14.500,BociKakang,Jakarta Selatan,250+ terjual,4.8
kerupuk ikan mentah putih seblak gurih renyah garing 1000gr - S,Rp27.075Rp28.500,Radja Herbal Indonesia,Kab. Bekasi,19 terjual,5
Kerupuk Seblak Rafael Viral,Rp12.000,Golden Cakery,Jakarta Pusat,70+ terjual,4.9
seblak mercon pedas galak,Rp3.500,BUGAR STORE.,Kab. Garut,3rb+ terjual,4.5
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet,Rp7.138,Berkah Food Bandung,Cimahi,7rb+ terjual,4.9
Kylafood Seblak Cup,Rp12.510Rp13.900,kylafood,Bandung,500+ terjual,4.9
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral ORIGINAL TATANGGA,Rp44.500,Beauty DELUXE,Jakarta Barat,60+ terjual,4.9
12 Bungkus Mix Baso Aci isi 6 pcs X Seblak Instan isi 6 pcs,Rp38.777Rp42.999,Semangkok Boci,Kab. Klaten,60+ terjual,4.8
Seblak Cobek Pedas Coet Viral ala Rafael Bumbu Khas Rempah,Rp7.950Rp15.000,AMANA SNACK,Tangerang Selatan,26 terjual,5
SEBLAK KERING CIKRUH BUMBU KACANG VARIAN CAMPUR,Rp10.799,Simshop_,Cimahi,60+ terjual,4.7
"seblak krupuk 5000 ,pedas dan gurih",Rp5.000,anugrah seblak,Kab. Bandung,1rb+ terjual,4.7
KERUPUK MENTAH SERBA 5000 BAHAN SEBLAK,Rp6.000,GK_Snack,Kab. Bandung,1rb+ terjual,4.9
(HARGA TERMURAH) seblak instan mantap,Rp3.900,baso aci zahra,Kab. Bandung,1rb+ terjual,4.7
[PUTRI] Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,1rb+ terjual,5
Kylafood Seblak Rempah Autentik,Rp13.000,Kylafood Jakarta,Jakarta Selatan,250+ terjual,5
SEBLAK INSTAN MANG MUSS - LEVEL 10,Rp13.999,Seblak Mang Muss,Tasikmalaya,750+ terjual,4.9
SEBLAK KERING 100gr DUA VARIAN RASA,Rp4.500,jajanangarut19,Jakarta Selatan,250+ terjual,4.7
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp25.000Rp30.000,Lidigeli,Kab. Garut,100+ terjual,4.9
Kerupuk Seblak Beton As Kering Cikruh 500 Gr Bumbu Organik Pedas Gurih,Rp27.500,kerudung bunga,Cimahi,40+ terjual,5
KERUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH / KRUPUK BWG 200gr,Rp5.750,SuperSnacksShop,Kab. Bandung,1rb+ terjual,4.9
SEBLAK KERING PEDAS DAUN JERUK,Rp17.500,BociKakang,Jakarta Selatan,1rb+ terjual,4.6
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
seblak instant sajodo snak,Rp18.950,hikmah berkah jaya,Jakarta Barat,1rb+ terjual,4.9
Seblak Instan Bang Satria Kemasan Premium 1 PCS,Rp21.250Rp25.000,Pusat Pajamas Tasik,Tasikmalaya,8 terjual,5
seblak instant komplit bumbu cikruh bandung aufaro snack,Rp6.800,AUFARO SNACK,Kab. Bandung Barat,500+ terjual,4.9
Cuanki Lidah 50 pcs topingan seblak baso Aci bakso cuanki,Rp14.000,Distributor Cuanki dan Seblak,Kab. Bekasi,750+ terjual,4.9
paket mix 12PCS boci cuanki seblak,Rp38.999,nayismail,Cimahi,50+ terjual,4.9
Seblak pedas kerupuk pedas kiloan 1 kg,Rp35.000,RIKI STORE 97,Kab. Bogor,100+ terjual,4.7
Makaroni bantet pedas daun jeruk 1kg makroni bantet seblak pedas gurih,Rp14.960,camilanqu_shop,Kab. Majalengka,26 terjual,4.7
3 SEBLAK FREE BASO ACI,Rp61.583Rp90.000,Sajodo Snack & Food,Tasikmalaya,100+ terjual,4.9
GURILEM MINI 1KG Siomay Kering Toping Baso Aci Cuanki Seblak,Rp29.000,Pedas Gilaa,Surabaya,1rb+ terjual,4.9
Agen Seblak Mommy,Rp9.999,Kenal Jaya Bandung,Bandung,4rb+ terjual,4.9
S1 Seblak Instan Bang Satria Seuhah,Rp28.000,Ruth Store',Jakarta Pusat,6 terjual,5
Cuankie Tahu Gepeng Topping Baso Aci Seblak,Rp22.499,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,100+ terjual,4.9
3 BASO ACI FREE SEBLAK SAJODO SNACK & FOOD,Rp62.000Rp90.000,Sajodo Snack & Food,Tasikmalaya,100+ terjual,5
SEBLAK INSTAN NGABRET BANDUNG - SURABAYA SEBLAK INSTAN KOMPLIT,Rp5.048Rp5.099,Uai Food,Surabaya,50+ terjual,4.5
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,Rp16.000,Aydaa Snack,Surakarta,100+ terjual,4.9
Cipak Koceak Cirambay Cireng Seblak Basreng Bojot khas tasik camilan,Rp10.000,AMANA SNACK,Tangerang Selatan,100+ terjual,4.7
MAKARONI bantet 70gr krupuk SEBLAK krupuk UDANG KERUPUK BANTET,Rp2.600,NomeL Shop,Surabaya,500+ terjual,4.8
KerUpuk Seblak Kerupuk Beton Pedas Daun Jeruk 250gram,Rp15.000,Mega_Snack_095,Cimahi,24 terjual,4.7
Kylafood Paket (3 Seblak Original 2 Batagor kuah),Rp95.000Rp121.500,kylafood,Bandung,3rb+ terjual,4.9
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,500+ terjual,5
TOPPING SEBLAK/BASO ACI PAKET MIX TERMURAH/CUANKI/CUANKIE,Rp34.999,ArfaOnlineShop,Tangerang,100+ terjual,4.9
Seblak Komplit⠀⠀,Rp5.400Rp5.500,lisdhacollection,Kab. Garut,4rb+ terjual,4.8
Kerupuk seblak kering kencur 500gram /seblak kering pedas daun jeruk,Rp28.700Rp30.000,oyun kriukzz,Jakarta Barat,750+ terjual,4.9
bumbu seblak basah instan,Rp26.666,Kickball Official,Bandung,250+ terjual,4.7
Baso Aci & Seblak Home Made,Rp5.500,Rodhi snack,Kab. Nganjuk,30+ terjual,5
Basreng 250GR SEBLAK PEDAS MANIS ORIGINAL JONTOR SUPER ENAK,Rp14.850,Grosir Besar Kalimantan,Banjarbaru,20 terjual,4.8
Kerupuk seblak beton as kering cikruh 1 kg bumbu organik pedas gurih,Rp49.000,kerudung bunga,Cimahi,25 terjual,4.8
SEBLAK INSTAN TERMURAH,Rp3.500,Cemilan-Ce,Kab. Sidoarjo,100+ terjual,4.9
"Kylafood Paket ( Seblak Original, Batagor, Cireng Rujak, Boci Goang)",Rp76.000Rp95.000,kylafood,Bandung,750+ terjual,4.9
Kerupuk Seblak Kencur Pedas 1 kg Termurah,Rp8.000Rp85.000,MuezzaSnack,Kab. Cirebon,22 terjual,4.8
SEBLAK INSTAN MOMMY,Rp13.900,Rav Jaya Display,Kab. Tangerang,1rb+ terjual,4.8
Kylafood Paket Seblak Cup isi 4 pcs,Rp50.040Rp55.600,kylafood,Bandung,80+ terjual,5
Kylafood Seblak Cup,Rp13.500,Kylafood Jakarta,Jakarta Selatan,250+ terjual,4.9
Kerupuk Seblak Rafael / Seblak Pedas 250 Gram - Tam Snack,Rp16.000,TAM SNACK,Depok,60+ terjual,5
"Cemilan Snack Krupuk Seblak Pedas Bawang Kencur, Kerupuk Warna Warni Pedes & Renyah",Rp8.500,Toko Jajan Murah Online,Surabaya,,
Cemilan Snack Kekinian | varian Kerupuk Seblak - Original,Rp8.000,SNACK TIMEE,Medan,,
Seblak Rempah Autentik isi 5 pcs,Rp63.000,Kylafood Jakarta,Jakarta Selatan,100+ terjual,4.9
KERUPUK/KRUPUK SEBLAK RASA PEDAS TERLARIS ISI 250 GRAM NETT,Rp16.695,Toko kue Sumber Mas,Jakarta Timur,250+ terjual,4.9
kerupuk seblak pedas 1 kg / kerupuk seblak,Rp35.625Rp37.500,Adila_Putri_Snack,Kab.Ciamis,100+ terjual,4.8
Omiyago Snack Kerupuk Seblak,Rp6.000,omiyago,Jakarta Barat,50+ terjual,4.8
Kerupuk Bawang Orange Dan Putih 1kg 1kilo Cocok Untuk Seblak Nasi Uduk - Putih,Rp24.500,Distributor-Jaya,Tangerang,100+ terjual,5
Seblak Beton 1kg Pedas Daun Jeruk / Seblak Kerupuk JAAT 1kg,Rp37.500,D&R-9 collection,Bandung,60+ terjual,4.8
Pilus Cikur 1Kg Khas Garut Topping Baso Aci / Seblak,Rp33.000,Pedas Gilaa,Surabaya,500+ terjual,4.9
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",Rp14.999,aghniya,Tangerang Selatan,1rb+ terjual,4.9
SEBLAK INSTAN SAJODO SNACK,Rp18.500Rp23.000,Sajodo Snack & Food,Tasikmalaya,100+ terjual,4.8
"Toping Seblak Baso Aci PAKET MIX 150pcs Cuanki Lidah, Siomay dan Baso",Rp42.500,gaiagarut,Kab. Garut,250+ terjual,4.8
kerupuk seblak ALN2 kemasan 100 gr,Rp12.000,grosir sembako Aln2,Kab. Bandung Barat,,
PROMO KEMERDEKAAN SEBLAK + KRISANG 200 GR,Rp79.000,Central Seblak Nusantara,Tangerang Selatan,,
Kylafood Paket Paket 2 Seblak Cup + 4 Seblak Autentik,Rp71.460Rp79.400,kylafood,Bandung,16 terjual,4.8
Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Kecil,Rp12.500,Pasar Keripik Bandung,Bandung,100+ terjual,4.9
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,DUO BOCIL SNACK,Depok,250+ terjual,4.9
"baso aci, bakso aci, cuanki, seblak instan, boci",Rp8.000,baso aci masabi,Jakarta Selatan,2rb+ terjual,4.8
seblak basreng pedas original exstra daun jeruk 500gram,Rp25.000,seblak bandung99,Kab. Bandung,2rb+ terjual,4.8
Kylafood Mix Fav Selebgram Seblak Original & Batagor kuah,Rp42.500Rp50.000,kylafood,Bandung,100+ terjual,4.8
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,Rp25.000Rp30.000,Lidigeli,Kab. Garut,100+ terjual,4.9
"BATAGOR MINI KERING 100 PCS TOPING BASO ACI, SEBLAK DAN MIE INSTAN",Rp11.000,global cookware1,Jakarta Barat,750+ terjual,4.9
^; Seblak Rafael Asli Original | Seblak Coet Mamang Rafael,Rp28.000,siskaarinang2,Bandung,17 terjual,5
baso aci / seblak instan,Rp6.000,Nyum_mama,Pekanbaru,70+ terjual,4.6
Kylafood Seblak Tulang Rawan Play,Rp21.675Rp25.500,kylafood,Bandung,750+ terjual,4.9
GRATIS ONGKIR SEBLAK INSTAN/SEBLAK BANDUNG/SEBLAK GARUT/MURAH MANTAP,Rp3.999,MarkCi .id,Kab. Garut,100+ terjual,4.4
Kerupuk jengkol dan seblak beton (satu paket) rasa pedas kemasan 250 g,Rp15.500,Seblak Guludug Bandung,Kab. Bandung,16 terjual,5
Kerupuk Bantet Extra Daun Jeruk Camilan Krupuk Seblak Bumbu Kering 125 Gram - Pedas Biasa,Rp11.000Rp15.000,Makaroni Juaraa,Kab. Bogor,,
Kerupuk seblak pedas 500 Grm / kerupuk seblak pedas kencur,Rp22.500,adistri snack,Kab.Ciamis,1 terjual,
Seblak Tulang Rangu Nyai Mercon,Rp21.000,Jajanan Hits (JS),Tangerang Selatan,70+ terjual,5
cuanki tahu kering seblak isi 50 pcs toping seblak baso aci,Rp12.500,CUANKI CULAMETAN,Kab. Garut,500+ terjual,4.9
Kylafood paket 2 Seblak cup + 2 Seblak rempah autentik,Rp48.240Rp53.600,kylafood,Bandung,15 terjual,4.8
Kylafood Paket Seblak Cup isi 4 pcs,Rp50.040Rp55.600,kylafood,Bandung,80+ terjual,5
1 Kg Kerupuk Seblak Kencur Bantet Pedas Nikmat Harga Camilan Grosir Snack Viral,Rp7.400,Grosir Jaya Snack,Surabaya,3 terjual,
11 BUNGKUS SEBLAK MAMANG PAKET RESELLER,Rp55.000,global cookware1,Jakarta Barat,80+ terjual,5
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp19.000Rp30.000,Lidigeli,Kab. Garut,500+ terjual,4.8
Kylafood Seblak Tulang Rawan,Rp22.950Rp25.500,kylafood,Bandung,8rb+ terjual,4.9
SEBLAK JUARA INSTAN MASAK BASAH ASLI BANDUNG ENAK MANTAP,Rp22.000,Rasa Juara Indonesia,Kab. Bandung,1rb+ terjual,4.9
Seblak Ceker Cap Dua Putra,Rp8.000,Medina Snack Grosir,Kab. Sukabumi,100+ terjual,5
seblak instan jeletot jajanan hits bandung 1 porsi,Rp4.180,tokomakanankalimantan,Jakarta Barat,1rb+ terjual,4.8
SAMBAL SEBLAK BY MAMANG RAFAEL ORIGINAL HALAL VIRAALLL,Rp40.000,Beauty DELUXE,Jakarta Barat,30+ terjual,4.9
KERUPUK JABLAY BANTET SEBLAK PELANGI,Rp15.999,Toko kue Sumber Mas,Jakarta Timur,500+ terjual,4.9
Kerupuk Seblak Pedas Mimi,Rp18.000,Snack Zone Official,Jakarta Selatan,80+ terjual,4.9
Kylafood Seblak Kwetiaw play,Rp21.150Rp23.500,kylafood,Bandung,500+ terjual,4.9
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet - Original,Rp7.138,Berkah Food Bandung,Cimahi,7rb+ terjual,4.9
Geli Chips - Seblak Kering Pedas Gurih Daun Jeruk 65gr,Rp10.200Rp12.000,Foodstocks,Jakarta Selatan,70+ terjual,5
cuanki tahu kering seblak atau batagor kering isi 150 pcs,Rp34.999,CUANKI CULAMETAN,Kab. Garut,100+ terjual,4.8
SEBLAK KERING CIKRUH BUMBU KACANG VARIAN CAMPUR KEMASAN 1 KG,Rp57.999,Simshop_,Cimahi,18 terjual,5
cuanki tahu kering seblak isi 50 pcs toping seblak baso aci,Rp12.500,CUANKI CULAMETAN,Kab. Garut,500+ terjual,4.9
"Basreng 100 gram Ori, Seblak, Pedas Manis, Super Pedas isi 100gr",Rp7.599,Grosir Besar Kalimantan,Banjarbaru,29 terjual,5
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral,Rp40.000,Naturally Plus Jakarta,Kab. Tangerang,250+ terjual,4.9
Seblak Bu Etu - Misdaseum / Original,Rp19.900,Bakso Bu Etu,Kab. Bandung,750+ terjual,4.9
KERUPUK SEBLAK BETON BANTAT PEDES GURIH DAUN JERUK 250GRAM,Rp19.000,Madinah Oleh Oleh Bdg,Bandung,70+ terjual,4.9
CEMILAN BOX MAKARONI SPIRAL GELUNG KERUPUK SEBLAK STICK PANGSIT,Rp35.789,nyemilsaji,Kab. Bandung,750+ terjual,4.9
"CUANKI TAHU TOPING BASO ACI, SEBLAK, MIE INSTAN ENAK GURIH",Rp22.500,global cookware1,Jakarta Barat,1rb+ terjual,4.8
